2023-09-22 02:18:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-09-22 02:19:27 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2023-09-22 02:19:28 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Located environment: name=config-client-reactive_elastic_query, profiles=[default], label=null, version=eac1359c4bb4dc1aa1df3d1f8d051a372420d59d, state=null
2023-09-22 02:19:28 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-git@github.com:XahedS/spring-cloud-config-server-repository.git/config-client-reactive_elastic_query.yml'}]
2023-09-22 02:19:28 [main] INFO  c.m.d.r.e.q.s.ReactiveElasticQueryServiceApplication - The following profiles are active: reactive_elastic_query
2023-09-22 02:19:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2023-09-22 02:19:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 258ms. Found 0 Elasticsearch repository interfaces.
2023-09-22 02:19:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2023-09-22 02:19:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 1 Reactive Elasticsearch repository interfaces.
2023-09-22 02:19:29 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=d39f8dcc-aa69-3315-8955-73ec0ec47085
2023-09-22 02:19:30 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-09-22 02:19:30 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-09-22 02:19:30 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-09-22 02:19:30 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-09-22 02:19:31 [reactor-http-epoll-1] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.4.RELEASE
2023-09-22 02:19:31 [reactor-http-epoll-1] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2023-09-22 02:19:31 [reactor-http-epoll-1] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.9.1
2023-09-22 02:19:31 [reactor-http-epoll-1] WARN  o.s.d.e.support.VersionInfo - Version mismatch in between Elasticsearch Clients build/use: 7.6.2 - 7.9.1
2023-09-22 02:19:31 [reactor-http-epoll-1] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch cluster: 7.9.1
2023-09-22 02:19:31 [main] INFO  o.s.b.a.s.r.ReactiveUserDetailsServiceAutoConfiguration - 

Using generated security password: 2ea5ca0f-3789-4c12-b95a-6f36ea4d102f

2023-09-22 02:19:32 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port(s): 8183
2023-09-22 02:19:32 [main] INFO  c.m.d.r.e.q.s.ReactiveElasticQueryServiceApplication - Started ReactiveElasticQueryServiceApplication in 7.172 seconds (JVM running for 8.334)
